Index,Assembly_Seat,Seat_Type,Constituency_Name,BJP,INC,SHS,NCP,AIMIM,LKSGM,VBA,BSP,PJP,SWP,STBP,PWPI,RSPS,CPI(M),BVA,SP,MNS,KSP,JSS,Independent,Strong_Party
214,Pune_Cantonment,SC,Pune,52160,47148,,,,,,,,,,,,,,,,,,,
215,Kasba_Peth,GEN,Pune,62394,73309,,,,,,,,,,,,,,,,,,,INC
216,Pen,GEN,Raigad,112380,,,,,,,,,,,88329,,,,,,,,,BJP
217,Alibag,GEN,Raigad,,,111946,,,,,,,,,79022,,,,,,,,,SHS
218,Shrivardhan,GEN,Raigad,,,52453,92074,,,,,,,,,,,,,,,,,NCP
219,Mahad,GEN,Raigad,,80898,102273,,,,,,,,,,,,,,,,,,SHS
220,Dapoli,GEN,Raigad,,,95364,81786,,,,,,,,,,,,,,,,,SHS
221,Guhagar,GEN,Raigad,,,78748,52297,,,,,,,,,,,,,,,,,SHS
222,Katol,GEN,Ramtek,79785,,,96842,,,,,,,,,,,,,,,,,NCP
223,Savner,GEN,Ramtek,86893,113184,,,,,,,,,,,,,,,,,,,INC
224,Hingna,GEN,Ramtek,121305,,,75138,,,,,,,,,,,,,,,,,BJP
225,Umred,SC,Ramtek,73939,91968,,,,,,,,,,,,,,,,,,,
226,Kamthi,GEN,Ramtek,118182,107066,,,,,,,,,,,,,,,,,,,
227,Ramtek,GEN,Ramtek,43006,,,,,,,,,,,,,,,,,,,67419,
228,Chiplun,GEN,Ratnagiri-Sindhudurg,,,71654,101578,,,,,,,,,,,,,,,,,NCP
229,Ratnagiri,GEN,Ratnagiri-Sindhudurg,,,118484,,,,,,,,,,,,,,,,,,SHS
230,Rajapur,GEN,Ratnagiri-Sindhudurg,,53557,65433,,,,,,,,,,,,,,,,,,
231,Kankavli,GEN,Ratnagiri-Sindhudurg,84504,,56388,,,,,,,,,,,,,,,,,,BJP
232,Kudal,GEN,Ratnagiri-Sindhudurg,,,69168,,,,,,,,,,,,,,,,,54819,
233,Sawantwadi,GEN,Ratnagiri-Sindhudurg,,,69784,,,,,,,,,,,,,,,,,56556,
234,Chopda,ST,Raver,,,78137,57608,,,,,,,,,,,,,,,,,
235,Raver,GEN,Raver,62335,77941,,,,,,,,,,,,,,,,,,,
236,Bhusawal,SC,Raver,81689,,,,,,,,,,,,,,,,,,,,BJP
237,Jamner,GEN,Raver,114714,,,79700,,,,,,,,,,,,,,,,,BJP
238,Muktainagar,GEN,Raver,89135,,,,,,,,,,,,,,,,,,,91092,
239,Malkapur,GEN,Raver,71892,86276,,,,,,,,,,,,,,,,,,,
240,Miraj,SC,Sangli,96369,,,,,,,,,65971,,,,,,,,,,,BJP
241,Sangli,GEN,Sangli,93636,86697,,,,,,,,,,,,,,,,,,,
242,Palus-Kadegaon,GEN,Sangli,,171497,,,,,,,,,,,,,,,,,,,INC
243,Khanapur,GEN,Sangli,,,116974,,,,,,,,,,,,,,,,,90683,SHS
244,Tasgaon-Kavathe_Mahankal,GEN,Sangli,,,65839,128371,,,,,,,,,,,,,,,,,NCP
245,Jat,GEN,Sangli,52510,87184,,,,,,,,,,,,,,,,,,,INC
246,Wai,GEN,Satara,86839,,,130486,,,,,,,,,,,,,,,,,NCP
247,Koregaon,GEN,Satara,,,101487,95255,,,,,,,,,,,,,,,,,
248,Man,GEN,Satara,91469,,,,,,,,,,,,,,,,,,,88426,
249,Karad_North,GEN,Satara,,,,100509,,,,,,,,,,,,,,,,51294,NCP
250,Karad_South,GEN,Satara,83166,92296,,,,,,,,,,,,,,,,,,,
251,Patan,GEN,Satara,,,106266,92091,,,,,,,,,,,,,,,,,SHS
252,Satara,GEN,Satara,118005,,,74581,,,,,,,,,,,,,,,,,BJP
253,Akole,ST,Shirdi,55725,,,113414,,,,,,,,,,,,,,,,,NCP
254,Sangamner,GEN,Shirdi,,125380,63128,,,,,,,,,,,,,,,,,,INC
255,Shirdi,GEN,Shirdi,132316,,,,,,,,,,,,,,,,,,,,BJP
256,Kopargaon,GEN,Shirdi,86744,,,87566,,,,,,,,,,,,,,,,,
257,Shrirampur,SC,Shirdi,,93906,74912,,,,,,,,,,,,,,,,,,
258,Nevasa,GEN,Shirdi,86280,,,,,,,,,,,,,,,,,116943,,,KSP
259,Junnar,GEN,Shirur,,,65890,74958,,,,,,,,,,,,,,,,50041,
260,Ambegaon,GEN,Shirur,,,59345,123120,,,,,,,,,,,,,,,,,NCP
261,Khed_Alandi,GEN,Shirur,,,63624,96866,,,,,,,,,,,,,,,,,
262,Shirur,GEN,Shirur,103627,,,145131,,,,,,,,,,,,,,,,,NCP
263,Bhosari,GEN,Shirur,159295,,,,,,,,,,,,,,,,,,,81728,BJP
264,Hadapsar,GEN,Shirur,89506,,,92326,,,,,,,,,,,,,,,,,
265,Mohol,SC,Solapur,,,68833,90532,,,,,,,,,,,,,,,,,
266,Solapur_City_North,GEN,Solapur,96529,,,,,,,,,,,,,,,,,,,,BJP
267,Solapur_City_Central,GEN,Solapur,,51440,,,38721,,,,,,,,,,,,,,,,
268,Akkalkot,GEN,Solapur,119437,82668,,,,,,,,,,,,,,,,,,,BJP
269,Solapur_South,GEN,Solapur,87223,57976,,,,,,,,,,,,,,,,,,,BJP
270,Pandharpur,GEN,Solapur,109450,,,105717,,,,,,,,,,,,,,,,,
271,Mira_Bhayandar,GEN,Thane,64049,55939,,,,,,,,,,,,,,,,,,79575,
272,Ovala-Majiwada,GEN,Thane,,,117593,,,,,,,,,,,,,,,,,,SHS
273,Kopri-Pachpakhadi,GEN,Thane,,,113497,,,,,,,,,,,,,,,,,,SHS
274,Thane,GEN,Thane,92298,,,,,,,,,,,,,,,,72874,,,,BJP
275,Airoli,GEN,Thane,114645,,,,,,,,,,,,,,,,,,,,BJP
276,Belapur,GEN,Thane,87858,,,44261,,,,,,,,,,,,,,,,,BJP
277,Dhamangaon_Railway,GEN,Wardha,90832,81313,,,,,,,,,,,,,,,,,,,
278,Morshi,GEN,Wardha,,86361,,,,,,,,96152,,,,,,,,,,,SWP
279,Arvi,GEN,Wardha,87318,74851,,,,,,,,,,,,,,,,,,,
280,Deoli,GEN,Wardha,,75345,,,,,,,,,,,,,,,,,,39541,
281,Hinganghat,GEN,Wardha,103585,,,53130,,,,,,,,,,,,,,,,,BJP
282,Wardha,GEN,Wardha,79739,71806,,,,,,,,,,,,,,,,,,,
283,Washim,SC,Yavatmal-Washim,66159,,,,,,52464,,,,,,,,,,,,,45407,
284,Karanja,GEN,Yavatmal-Washim,73205,,,50481,,,,41907,,,,,,,,,,,,,
285,Ralegaon,ST,Yavatmal-Washim,90823,80948,,,,,,,,,,,,,,,,,,,
286,Yavatmal,GEN,Yavatmal-Washim,80425,48172,,,,,,,,,,,,,,,,,,,
287,Digras,GEN,Yavatmal-Washim,,,136824,,,,,,,,,,,,,,,,,73217,SHS
288,Pusad,GEN,Yavatmal-Washim,79442,,,89143,,,,,,,,,,,,,,,,,
